Frequency, int
2.777903947124547468e+00,2.178162382090400792e-02
2.777494338539239660e+00,1.030524283465159008e-03
2.777084850731655230e+00,4.024064531627966068e-02
2.776675483648383125e+00,8.436719518406592122e-02
2.776266237236043821e+00,7.048473111684834536e-02
2.775857111441289327e+00,1.822510462442353957e-02
2.775448106210802290e+00,2.502562966115860765e-03
2.775039221491297337e+00,4.714244011231338155e-02
2.774630457229521063e+00,9.047154083416222847e-02
2.774221813372250711e+00,7.180963125422423765e-02
2.773813289866295051e+00,1.711706158283377369e-02
2.773404886658494384e+00,3.382624109562672177e-03
2.772996603695719653e+00,5.131479311129317350e-02
2.772588440924874220e+00,9.587607252654767320e-02
2.772180398292891645e+00,7.581508290681648887e-02
2.771772475746737019e+00,1.852045704632832024e-02
2.771364673233406961e+00,3.131107501197917531e-03
2.770956990699928735e+00,5.229760013311698930e-02
2.770549428093361577e+00,1.006067014047984931e-01
2.770141985360795367e+00,8.292186812779495098e-02
2.769734662449350626e+00,2.289286615561940755e-02
2.769327459306179851e+00,1.821446315251114278e-03
2.768920375878466178e+00,4.958751155873268590e-02
2.768513412113423833e+00,1.039977904734671471e-01
2.768106567958298125e+00,9.312814185963078084e-02
2.767699843360365008e+00,3.113948072288876337e-02
2.767293238266932409e+00,3.049015868076751512e-04
2.766886752625338008e+00,4.277856892676973333e-02
2.766480386382951018e+00,1.046205993745035201e-01
2.766074139487171735e+00,1.057300434153413404e-01
2.765668011885430655e+00,4.443252985431989099e-02
2.765262003525190249e+00,4.177298560825437601e-04
2.764856114353942740e+00,3.198999330572062372e-02
2.764450344319211883e+00,1.003978272646090242e-01
2.764044693368552075e+00,1.188815553525604807e-01
2.763639161449547910e+00,6.368646716486975334e-02
2.763233748509815957e+00,5.067505324298407499e-03
2.762828454497001651e+00,1.857722159309379423e-02
2.762423279358783734e+00,8.911330742380597913e-02
2.762018223042868925e+00,1.291867553003744340e-01
2.761613285496996362e+00,8.859969268771106243e-02
2.761208466668935380e+00,1.787993177373706916e-02
2.760803766506485957e+00,5.950248857873458030e-03
2.760399184957478269e+00,6.954590988650419248e-02
2.759994721969773579e+00,1.317435693063487845e-01
2.759590377491263791e+00,1.163675700206506791e-01
2.759186151469870563e+00,4.199924726340431569e-02
2.758782043853547084e+00,5.624380758351144038e-07
2.758378054590275852e+00,4.325390497218431496e-02
2.757974183628070897e+00,1.212592581669721115e-01
2.757570430914976445e+00,1.406134995935183485e-01
2.757166796399066477e+00,7.781304642569025765e-02
2.756763280028446506e+00,8.267754837205237850e-03
2.756359881751251351e+00,1.646392849696027422e-02
2.755956601515646920e+00,9.475988052123002214e-02
2.755553439269828431e+00,1.516866306809086795e-01
2.755150394962023075e+00,1.200704869728113910e-01
2.754747468540486910e+00,3.692016065315862489e-02
2.754344659953507080e+00,6.185122292573785874e-04
2.753941969149400038e+00,5.561322210527330778e-02
2.753539396076513324e+00,1.397833775557515701e-01
2.753136940683224676e+00,1.561316528127288383e-01
2.752734602917941586e+00,8.548857079351064592e-02
2.752332382729101301e+00,9.452630079390011986e-03
2.751930280065172596e+00,1.687458741211665669e-02
2.751528294874653113e+00,1.014933109787709009e-01
2.751126427106070693e+00,1.682980300712621224e-01
